Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language,Consentration,Course URL,Campus,Application Deadline,Scholarship Available,Scholarship Detail,Backlog Range,Remarks,ESL/ELP Detail,ApplicationMode,DetScore,GRE,GMAT,Campus2,Campus3,Campus4
BSOBF01,MSc in Arts and Cultural Management,14000,,Sep,Postgraduate,Bachelor's Degree with minimum 55% or higher in any field  from a recognised university.,,,,,,,,,,,,,,,,,,,Postgraduate,Arts,Arts,12 Months,Dijon,English,,https://global.bsb-education.com/bsbs-programmes/msc-arts-cultural-management/,Dijon,Sep: 15 Jul,,,0-10,Application Fee is waived off for KC. English Language Proficiency requirement can be waived off. ,,,,,,,,
BSOBAIF01,"MA in Tourism, Hospitality and Event Management ( University for the Creative Arts ) - Paris Campus",8000,,Feb,Postgraduate,An Undergraduate degree with minimum 55% from a recognised university. IELTS/TOEFL/PTE/Duolingo can be waived off on the basis of MOI and should be recent passout (2 years).,,,,,,5.5,5.5,5.5,5.5,,,80,6,51,51,51,51,56,Postgraduate,Arts,Arts,18 Months,Paris,English,,https://www.berlinsbi.com/courses/postgraduate/ma-tourism-hospitality-and-event-management,Paris,ASAP,Yes,,0-10,"Degree awarded by University for the Creative Arts.The tuition fee mentioned is for 1 year and the total tuition fee for this program will be € 12,000 ( for 18 months ).  TOEFL IBT Overall score will be 80 with no section less than -Listening 17, Reading 18, Speaking 20, Writing 17 is required.",,Online,105,,,,,
BSOBAIF01,MA in Innovation and Entrepreneurship ( Concordia University Chicago ) - Paris Campus,7500,,"Oct, Mar",Postgraduate,"Bachelor's Degree with minimum 55%  from a U.S. equivalent, regionally accredited institution. IELTS/TOEFL/Duolingo can be waived off on the basis of MOI and should be recent passout (2 years).",,,,,,5.5,5.5,5.5,5.5,,,72,6,0,0,0,0,,Postgraduate,Arts,Arts,24 Months,Paris,English,,https://www.berlinsbi.com/courses/postgraduate/ma-in-innovation-and-entrepreneurship,Paris,ASAP,Yes,,0-10,Degree awarded by Concordia University Chicago ,,Online,95,,,,,
LCBF01,Cuisine Diploma,27900,200,"Jan, Apr, Jul, Oct",UG Diploma /Certificate /Associate Degree,12th Std. with minimum 55%,,,,,,,,,,,,,,,,,,,UG Diploma /Certificate /Associate Degree,Arts,Bakery and Pastry Arts,9 Months,Paris,English,,https://www.cordonbleu.edu/paris/cuisine-diploma/en,Paris,ASAP,,,,All demonstrations are in French and translated into English by an English speaking translator so that all students can follow the lessons with ease.,,,,,,,,
LCBF01,Pastry Diploma,47400,200,"Jan, Apr, Jul, Oct",UG Diploma /Certificate /Associate Degree,12th Std. with minimum 55%,,,,,,,,,,,,,,,,,,,UG Diploma /Certificate /Associate Degree,Arts,Bakery and Pastry Arts,9 Months,Paris,English,,https://www.cordonbleu.edu/paris/grand-diplome-cuisine-pastry/en,Paris,ASAP,,,,All demonstrations are in French and translated into English by an English speaking translator so that all students can follow the lessons with ease.,,,,,,,,
LCBF01,Bachelor of Business in Culinary Arts,14000,200,"Sep, Apr",Undergraduate,12th Std. with minimum 55%,,,,,,,,,,,,63,,,,,,,Undergraduate,Arts,Bakery and Pastry Arts,36 Months,Paris,English,,https://www.cordonbleu.edu/paris/bachelor-business-culinary-arts-management/en,Paris,ASAP,,,,,,,,,,,,
LCBF01,Cuisine Diploma with Culinary Management,33900,200,"Jan, Apr, Jul, Oct",UG Diploma /Certificate /Associate Degree,12th Std. with minimum 55%,,,,,,,,,,,,,,,,,,,UG Diploma /Certificate /Associate Degree,Arts,Bakery and Pastry Arts,12 Months,Paris,English,,https://www.cordonbleu.edu/paris/diplome-cuisine-culinary-management/en,Paris,ASAP,,,,All demonstrations are in French and translated into English by an English speaking translator so that all students can follow the lessons with ease.,,,,,,,,
LCBF01,Diploma de Boulangerie with Culinary Management,19000,200,"Jan, Apr, Jul, Oct",UG Diploma /Certificate /Associate Degree,12th Std. with minimum 55%,,,,,,,,,,,,,,,,,,,UG Diploma /Certificate /Associate Degree,Arts,Bakery and Pastry Arts,9 Months,Paris,English,,https://www.cordonbleu.edu/paris/diplome-bakery-culinary-management/en,Paris,ASAP,,,,All demonstrations are in French and translated into English by an English speaking translator so that all students can follow the lessons with ease.,,,,,,,,
LCBF01,Patisserie & Boulangerie Diploma with Professional Immersion,26550,200,"Jan, Apr, Jul, Oct",UG Diploma /Certificate /Associate Degree,12th Std. with minimum 55%,,,,,,,,,,,,,,,,,,,UG Diploma /Certificate /Associate Degree,Arts,Bakery and Pastry Arts,16 Months,Paris,English,,https://www.cordonbleu.edu/paris/patisserie-boulangerie-diploma-immersion/en,Paris,ASAP,,,,All demonstrations are in French and translated into English by an English speaking translator so that all students can follow the lessons with ease.,,,,,,,,
LCBF01,Patisserie & Boulangerie Diploma,32900,200,"Jan, Apr, Jul, Oct",UG Diploma /Certificate /Associate Degree,12th Std. with minimum 55%,,,,,,,,,,,,,,,,,,,UG Diploma /Certificate /Associate Degree,Arts,Bakery and Pastry Arts,9 Months,Paris,English,,https://www.cordonbleu.edu/paris/patisserie-boulangerie-diploma/en,Paris,ASAP,,,,All demonstrations are in French and translated into English by an English speaking translator so that all students can follow the lessons with ease.,,,,,,,,
