name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#,logo
"Airways Aviation, France",AFVI01,,,,France,,Reims,,,,http://airwaysaviation.com/,,,,AirwaysAviation.png
"Berlin School of Business and Innovation, Paris",BSOBAIF01,,,,France,,Paris,,,,http://www.berlinsbi.com/,,,,BerlinSchoolofBusiness.jpg
Burgundy School of Business,BSOBF01,,,,France,,Dijon,,,,http://www.bsbu.eu/,,,,BurgundySchoolofBusiness.jpg
College de Paris,CODEPF01,,,,France,,Paris,,,,https://www.collegedeparis.com/,,,,CollegedeParis.png
De Vinci Higher Education,DVF01,,,,France,,Paris,,,,http://international.leonard-de-vinci.net/,,,,DeVinciHigherEducation.jpg
"Ecole Ducasse, Paris",ECDPF01,,,,France,,Paris,,,,http://www.ecoleducasse.com/en,,,,EcoleDucasse.jpg
"Ecole Nationale Supérieure des Mines d'Alès - IMT Mines, Alès ",ENSMAIMTF01,,,,France,,France,,,,http://www.mines-ales.fr/nos-formations/master-damage,,,,EcoleNationale.jpg
EM Normandie,EMNOF01,,,,France,,Paris,,,,http://www.ecole-management-normandie.fr/uk/,,,,EMNormandie.jpg
EPITA- Graduate School of Computer Science,EPITAF01,,,,France,,Le Kremlin-Bicêtre,,,,https://www.epita.fr/campus/ecole-ingenieur-informatique-paris/,,,,EPITA.png
Esigelec Graduate School of Engineering,EGF01,,,,France,,Rouen,,,,http://www.esigelec.fr/en,,,,EsigelecGraduateSchool.jpg
"Excelia Group, La Rochelle",ECLARF01,,,,France,,La Rochelle,,,,http://https//www.esc-larochelle.fr/,,,,ExceliaGroup.png
"IDRAC Business School, France",IDRACBF01,,,,France,,Lyon,,,,http://www.idrac-business-school.com/,,,,IDRACBusinessSchool.jpg
Institut supérieur d`électronique de Paris (ISEP),IFDP01,,,,France,,Paris,,,,http://www.isep.org/,,,,Institut.jpg
ISC Paris Business School,ISCPF01,,,,France,,Paris,,,,http://www.iscparis.com/,,,,ISCParisBusinessSchool.jpg
Istituto Marangoni,ISTMF01,,,,France,,Paris,,,,http://www.istitutomarangoni.com/en/,,,,IstitutoMarangoni.png
Le Cordon Bleu,LCBF01,,,,France,,Paris,,,,http://www.lcbparis.com/,,,,LeCordonBleu.png
NEOMA Business School,NEOMAF01,,,,France,,Rouen,,,,http://www.neoma-bs.com/,,,,NEOMABusinessSchool.jpg
Queen Mary University of London Institute in Paris,QMULF01,,,,France,,Paris,,,,http://ulip.london.ac.uk/,,,,QueenMaryUniversity.jpg
Rennes School of Business,RSOBF01,,,,France,,Rennes,,,,http://https//www.rennes-sb.com%20%C2%A0,,,,RennesSchoolofBusiness.jpg
Sustainable Design School,SUSDF01,,,,France,,Cagnes-sur-Mer,,,,http://www.the-sds.com/,,,,SustainableDesignSchool.jpg
The American Business School,TABSF01,,,,France,,Paris,,,,http://www.absparis.org/,,,,TheAmericanBusinessSchool.jpg
