Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall
,Undergraduate Pre-Sessional English,"15,460.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",English as Second Language (ESL),Grade 12 / High School,70.00%,,,,,,,,,709,,,
,Graduate Pre-Sessional English,"15,460.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",English as Second Language (ESL),4-Year Bachelor's Degree,75.00%,,,,,,,,,709,,,
,International Direct - Bachelor of Business Administration - Accounting,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Business Administration - Accounting,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Business Administration - Accounting,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Anthropology,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Anthropology,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Anthropology,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Fine Arts - Art and Design Education,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Fine Arts - Art and Design Education,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Fine Arts - Art and Design Education,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Art History,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Art History,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Art History,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
