Course Code,Course Name,fees,Application Fee,Degree
,Bachelor of Arts - Communication,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Community Advocacy and Social Policy,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Community Health,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Community Sports Management,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Criminology and Criminal Justice,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Exercise and Wellness,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Exploratory Health and Life Sciences,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,"Exploratory Humanities, Fine Arts and Design","Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,"Exploratory Math, Physical Sciences, Engineering and Technology","Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - General Studies,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Care Compliance and Regulations,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Care Coordination,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Education and Health Promotion,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Entrepreneurship and Innovation,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Sciences,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Sciences - Healthy Lifestyles Coaching,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Integrative Health,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Interdisciplinary Studies,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Journalism and Mass Communication,"Tuition: US$ 30,522.00",US$ 0.00,4-Year Bachelor's Degree
