Course Code,Course Name,fees,Application Fee,Degree
,Bachelor of Science - Biology,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Business - Business Administration,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Business - Communication,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Communication,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Communication,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Criminology and Criminal Justice,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts in Education - Elementary Education,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Environmental Science,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Environmental Science,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Exploratory Health and Life Sciences - Transfer to Bachelor's Degree,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Exploratory Social and Behavioural Sciences - Transfer to Bachelor's Degree,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,"Exploratory Humanities, Fine Arts and Design - Transfer to Bachelor's Degree","Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - General Studies,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Health Education and Health Promotion,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Kinesiology,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Organizational Leadership,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Political Science,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Psychology,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Psychology,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Arts - Sociology,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
,Bachelor of Science - Tourism and Recreation Management,"Tuition: US$ 9,848.00",US$ 0.00,4-Year Bachelor's Degree
