Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Master of Professional Engineering (Civil Engineering),36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Civil Engineering,per year,Bentley (Perth),English
,Master of Professional Engineering (Mechanical Engineering),36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Mechanical Engineering,per year,Bentley (Perth),English
,Master of Professional Engineering (Petroleum Engineering),36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Petroleum Engineering,per year,Bentley (Perth),English
,Master of Professional Engineering (Software Engineering),36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Software Engineering,per year,Bentley (Perth),English
,Master of Professional Engineering (Subsea Engineering),36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Subsea Engineering,per year,Bentley (Perth),English
,"Bachelor of Science (Applied Geology), Bachelor of Science (Environmental Biology)",36200,,"Feb, Jul",4 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Bentley (Perth),English
,"Bachelor of Engineering (Civil and Construction Engineering), Bachelor of Science (Mining)",34900,,"Feb, Jul",5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Civil Engineering,per year,Curtin (Perth),English
,"Master of Science (Mineral and Energy Economics), Master of Business Administration",36600,,"Feb, Jul",2.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Administration,per year,Perth City,English
,Master of Business Administration (Advanced),36200,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Administration,per year,Perth City,English
,Bachelor of Exercise and Sport Science,36900,,"Feb, Jul",3 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Sport Science,per year,Bentley (Perth),English
,Bachelor of Creative Arts,29000,,"Feb, Jul",3 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Arts,Creative Arts,per year,Curtin (Perth),English
,Bachelor of Communication,29600,,"Feb, Jul",3 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media ,Communication,per year,Curtin (Perth),English
,Master of Social Work (Qualifying( (Graduate Entry),0,,"Feb, Jul",2 years,,,23,23,23,23,7,7,7,7,CU1001,,99,7,65,65,65,65,65,Master's Degree,Social Science,Social Work,per year,Curtin (Perth),English
,Master of Engineering Science (Metallurgy),37800,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6,52,52,52,52,65,Master's Degree,Engineering,Metallurgy Engineering,per year,Kalgoorlie(Perth),English
,Master of Journalism,29000,,Feb,2 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Mass & Media ,Journalism,per year,Curtin (Perth),English
,Master of Business Administration,37100,,"Feb, Jul",1.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Administration,per year,Curtin (Perth),English
,Master of Science (Project Management),31000,,"Feb, Jul",1.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Project Management,per year,Curtin (Perth),English
,Master of Management,30300,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Management,per year,Curtin (Perth),English
,Master of Marketing,30000,,"Feb, Jul",1.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Marketing,per year,Curtin (Perth),English
,Master of Taxation,30000,,"Feb, Jul",1.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Taxation,per year,Curtin (Perth),English
,Bachelor of Engineering (Honours) / Bachelor of Commerce,29800,,"Feb, Jul",5.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Engineering,per year,Curtin (Perth),English
,Master of Accounting,31000,,"Feb, Jul",1.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Accounts,per year,Curtin (Perth),English
,Master of Finance,30000,,"Feb, Jul",1.5 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Business,Finance,per year,Curtin (Perth),English
,Masters of Environment and Climate Change,29200,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Social Science,Environment & Climante Change,per year,Curtin (Perth),English
,Master of Psychology (Professional),36000,,Feb,1 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Science,Psychology,per year,Curtin (Perth),English
,Master of Geospatial Intelligence,38000,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Science,Geospatial Intelligence,per year,Curtin (Perth),English
,Master  of Engineering Management,54300,,"Feb, Jul",1 years,,,13,13,13,13,6,6,6,6,CU1001,,79,6.5,50,50,50,50,58,Master's Degree,Engineering,Management,per year,Curtin (Perth),English
,Master of Professional Engineering (Chemical Engineering),36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Chemical Engineering,per year,Bentley (Perth),English
,Master of Professional Engineering [Electrical Engineering (Embedded Systems Engineering)],36900,,"Feb, Jul",2 years,,,13,13,13,13,6,6,6,6,CU1001,,68,6,50,50,50,50,50,Master's Degree,Engineering,Electrical Engineering,per year,Bentley (Perth),English
