Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,Hase code,Min TOEFL iBT,Min IELTS Overall
,College Certificate - Architectural and Structural CADD and Graphics Technician - Architectural Option,"CA$ 21,040.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6
,College Certificate - Architectural and Structural CADD and Graphics Technician - Structural Option,"CA$ 21,040.00",CA$ 154.00,"Start: Deadline: May 2020, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6
,College Certificate - Automotive Technician Foundation,"CA$ 14,490.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,332,DLI#: O19330128542,82,6
,College Certificate - Motor Vehicle Body Repair Technician Foundation,"CA$ 15,456.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,332,DLI#: O19330128542,82,6
,College Diploma - Biomedical Engineering Technology,"CA$ 22,580.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6
,College Diploma - Chemical and Environmental Technology,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,70.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,"College Diploma - Fish, Wildlife and Recreation","CA$ 18,452.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Food Technology,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Forest and Natural Areas Management,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Geomatics Engineering Technology,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Mineral Exploration and Mining Technology,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,"College Diploma - 3D Modeling, Art, and Animation","CA$ 20,408.00",CA$ 154.00,"Start: Jan 2020, Sep 2020, Jan 2021, Mar 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Accounting,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Broadcast and Online Journalism,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Business Information Technology Management,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,70.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Business Management,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Business Management - Advanced Placement,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,2-Year Undergraduate Diploma,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Business Operations Management,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Digital Design and Development,"CA$ 16,396.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Finance,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - Financial Planning,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
,College Diploma - General Insurance and Risk Management,"CA$ 18,452.00",CA$ 154.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,67.00%,,,,,,,,,332,DLI#: O19330128542,82,6.5
