Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Intensive English Language Program,"CA$ 9,400.00",CA$ 275.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,,,,,,,,,,128,DLI#: O19394569014,,
,Bachelor of Business Administration  (Optional Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Biotechnology (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Computer Science (Optional Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Computing and Network Communications (Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Mathematics and Statistics (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Neuroscience (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Accounting (Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,85.00%,,27,,27,6.5,6.5,6.5,6.5,128,DLI#: O19394569014,100,7
,Bachelor of Arts - Applied Linguistics (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Child and Youth Studies,"CA$ 25,293.00",CA$ 130.00,"Start: May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
