Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,
,College Diploma - AutoCAD Drafting and Design Specialist,"18,450.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Construction and Drafting Technician,"18,450.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Deadline: Jul 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Architectural Design and Building Technician,"18,450.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Civil Infrastructure Design Technology,"18,450.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Structural and Building Technology,"18,450.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - International Trade and Freight Forwarding,"16,600.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - International Trade,"14,200.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Business Management (Co-op),"14,400.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Advanced Business Management (Co-op),"11,800.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Advanced Business Management - Accounting (Co-op),"13,042.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
