Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Advanced College Diploma - Biomedical Engineering Technology - Fast Track (Optional Co-op) (3427),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Business Administration - Supply Chain and Operations Management (Optional Co-op) (2507),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1032,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Computer Systems Technology - Networking - Fast Track (Optional Co-op) (3425),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Electro-Mechanical Engineering Technology - Automation and Robotics (Optional Co-op) (4106),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1032,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Electro-Mechanical Engineering Technology - Automation and Robotics - Fast Track (Optional Co-op) (4126),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Electronics Engineering Technology (Optional Co-op) (3206),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1032,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Electronics Engineering Technology - Fast Track (Optional Co-op) (3222),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Energy Systems Engineering Technology (Optional Co-op) (3756),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1032,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Energy Systems Engineering Technology - Fast Track (Optional Co-op) (3776),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Health Informatics Technology - Fast Track (Optional Co-op) (3528),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
,Advanced College Diploma - Hospitality and Tourism Administration (1805),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1032,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Mechanical Engineering Technology - Design (Optional Co-op) (3703),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1032,DLI#: O19394700003,84,6.5
,Advanced College Diploma - Mechanical Engineering Technology - Design - Fast Track (Optional Co-op) (3735),"CA$ 14,988.00",CA$ 0.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1032,DLI#: O19394700003,88,6.5
