Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Advanced College Diploma - Advertising and Marketing Communications Management (6404),"CA$ 14,080.00",CA$ 0.00,"Start: Deadline: May 2020, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,College Diploma - Animation - 3D (6423),"CA$ 23,947.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,College Certificate - Art and Design Fundamentals (6409),"CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,"Advanced College Diploma - Broadcasting - Radio, Television, Film and Digital Media (6401)","CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6.5
,College Diploma - Dance - Performance (6460),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,College Diploma - Digital Visual Effects (6435),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,College Diploma - Fine Arts Studio (6421),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,College Diploma - Game Art and Design (6422),"CA$ 23,946.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,Advanced College Diploma - Game Development and Design (6432),"CA$ 15,964.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,Advanced College Diploma - Graphic Design (6420),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6.5
