Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,,Min TOEFL iBT,Min IELTS Overall
,English as a Second Language Training,"CA$ 9,400.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,251,DLI#: O19360977332,,
,College Diploma - Business Management - Management,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Deadline: Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Business Management - International Business,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Business Management - Marketing,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Business Management - Web and Graphic Design,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Business Management - Leadership,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Graduate Diploma - Human Resources Management,"CA$ 7,170.00",CA$ 125.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,77.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Graduate Diploma - Information Technologies,"CA$ 11,569.00",CA$ 125.00,"Start: May 2020, Sep 2020, May 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,77.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Graduate Diploma - Tourism and Hotel Management,"CA$ 9,162.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,77.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Certificate - Applied Sciences - Engineering,"CA$ 15,846.00",CA$ 125.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Kinesiology,"CA$ 12,707.00",CA$ 125.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Certificate - Fine Arts - Transfer to Emily Carr University of Art + Design,"CA$ 14,730.00",CA$ 125.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - Aboriginal Studies,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - Anthropology,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - Commerce,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - English,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - Modern Classics,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - Psychology,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Arts - Sociology,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Science - Biology,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,Associate of Science - General,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Accounting & Finance,"CA$ 11,950.00",CA$ 125.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Certificate - Social Service Worker,"CA$ 11,950.00",CA$ 125.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
,College Diploma - Social Service Worker,"CA$ 15,535.00",CA$ 125.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,251,DLI#: O19360977332,80,6
