Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,,Min TOEFL iBT,Min IELTS Overall
,College Certificate - Automotive Service Technician,"CA$ 7,480.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Business Administration,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Diploma - Business Administration - Accounting,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Diploma - Business Administration - Human Resource Management,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Comprehensive Arts and Science (CAS) Transition,"CA$ 6,600.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Cook,"CA$ 7,480.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Diploma - Digital Animation,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Diploma - Digital Filmmaking,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Hairstylist,"CA$ 8,360.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Heavy Duty Equipment Technician/Truck and Transport Mechanic,"CA$ 7,920.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Office Administration,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Diploma - Office Administration - Executive,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Certificate - Small Equipment Service Technician,"CA$ 7,920.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,625,DLI#: O19441088976,79,6
,College Diploma - Community Leadership Development,"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,625,DLI#: O19441088976,79,6
