Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,case,Min TOEFL iBT,Min IELTS Overall
,College Certificate - Carpenter,"CA$ 7,920.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Certificate - Comprehensive Arts and Science (CAS) Transition,"CA$ 6,600.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Certificate - Comprehensive Arts and Science (CAS) Transfer - College-University,"CA$ 6,600.00",CA$ 100.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Certificate - Construction/Industrial Electrician,"CA$ 8,140.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Architectural Engineering Technology (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Chemical Process Engineering Technology (Co-op) (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Civil Engineering Technology (Co-op) (Transfer to Corner Brook Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Civil Engineering Technology (Co-op) (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Computing Systems Engineering Technology (Co-op) (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Electrical Engineering Technology - Power and Controls (Co-op) (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Electronics Engineering Technology - Biomedical (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Geomatics/Surveying Engineering Technology (Co-op) (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
,College Diploma - First Year - Industrial Engineering Technology (Co-op) (Transfer to Ridge Road Campus),"CA$ 8,250.00",CA$ 100.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,,,,,,,,,630,DLI#: O19441088976,79,6
