Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,Min TOEFL iBT,Min IELTS Overall
,English Language Program (ESL),"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Deadline: Jun 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,,,,,,,,,,School ID: 42,,
,Associate Degree - Science,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,DLI#: O19377233362,80,6
,Bachelor of Business Administration - Sustainable Business Practices,"CA$ 10,800.00",CA$ 100.00,"Start: May 2020, Sep 2020, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,60.00%,,,,,6,6,6,6,,80,6
,College Diploma - Kinesiology,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,Post-Degree Diploma - Sustainable Business Practices,"CA$ 13,500.00",CA$ 100.00,"Start: May 2020, Sep 2020, May 2021, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Bachelor's Degree,50.00%,,,,,6,6,6,6,,80,6
,Associate Degree - Arts,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,Associate Degree - Environmental Sciences,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,College Diploma - Hospitality Management (Invermere Campus),"CA$ 10,800.00",CA$ 100.00,"Start: May 2020, Sep 2020, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,Associate Degree - Social Work Pre-Major,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,College Diploma - Business Management - Accounting,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,College Diploma - Business Management - General Management,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,College Diploma - Business Management - Marketing,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
,College Diploma - Tourism Management,"CA$ 10,800.00",CA$ 100.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,6,6,6,6,,80,6
