Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language,Logo
,B.A. International Marketing Management,"13,060",,"Mar, Sept",3 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Marketing,per year,,,International University of Bad Honnef (IUBH)
,B.A. International Tourism Management,"13,490",,,3.5 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Tourism Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. International Event Management,"13,060",,"Mar, Sept",3 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Event Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. Tourism Management,"13,060",,,3 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Tourism Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. International Hospitality Management,"13,490",,"Mar, Sept",3.5 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Hospitality Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. Hospitality Management,"13,060",,"Mar, Sept",3 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Hospitality Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. International Aviation Management,"13,060",,"Mar, Sept",3.5 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Aviation Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. International Management,"13,060",,"Mar, Oct, Apr, Sept",3 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Management,per year,,,International University of Bad Honnef (IUBH)
,B.A. Aviation Management,"13,060",,"Mar, Sept",3 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Bachelor's Degree,Business,Aviation Management,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: Aviation (M.A.),"14,580",,"Mar, Oct, Apr, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,Aviation Management,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: Big Data Management (M.A.),"14,580",,"Mar, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,Big Data Management,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: Finance & Accounting,"14,580",,"Mar, Oct, Apr, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,Finance & Accounting,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: Health Care Management (M.A.),"14,580",,"Mar, Oct, Apr, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,Health Care Management,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: Hospitality (M.A.),"14,580",,"Mar, Oct, Apr, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,Hospitality Management,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: International Human Resource Management (M.A.),"14,580",,"Mar, Oct, Apr, Sept",1 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,HR ,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: IT Management (M.A.),"14,580",,"Mar, Oct, Apr, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,IT Management,per year,,,International University of Bad Honnef (IUBH)
,Master International Management: Transport & Logistics (B.A.),"14,580",,"Mar, Sept",2 Years,,,,,,,,,,,IUOBU1001,,80,6,,,,,56,Master's Degree,Business,Logistics & Transport,per year,,,International University of Bad Honnef (IUBH)
