Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Postgraduate Diploma in International Business Level 8,20900,,Feb,1 year,,,21,21,21,21,6,6,6,6,NMIOT1001,,79,6.5,50,50,50,50,58,Postgraduate Diploma,Business,International Business,per year,Auckland,English
,Postgraduate Diploma in IT Security Management Level 8,20900,,"Apr, Jul, Sep, Nov",1 year,,,21,21,21,21,6,6,6,6,NMIOT1001,,79,6.5,50,50,50,50,58,Postgraduate Diploma,IT,Security Management,per year,Auckland,English
,Bachelor of Applied Management (Level 7),17500,,"Feb, Jul, Oct",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,NMIOT1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Management,per year,Auckland,English
,Bachelor of Applied Arts (Digital Media),17500,,"Feb, Jul, Oct",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,NMIOT1001,,60,6,42,42,42,42,50,Bachelor's Degree,Arts,Arts,per year,Auckland,English
,Bachelor of Applied Arts (Film Production),17500,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,NMIOT1001,,60,6,42,42,42,42,50,Bachelor's Degree,Arts,Arts,per year,Auckland,English
,Diploma in Management (Healthcare) (Level 7),15000,,"Feb, Apr, Jul, Nov",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,NMIOT1001,,60,6,42,42,42,42,50,Diploma,Business,Management,per year,Auckland,English
,Diploma in Software Development (Level 7),15000,,"Feb, Apr, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,NMIOT1001,,60,6,42,42,42,42,50,Diploma,IT,Software Development,per year,Auckland,English
,Postgraduate Diploma in Business Management,33330,,"Oct, Feb",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Business,Management,per year,Auckland City campus,English
,Postgraduate Diploma in English and New Media Studies,33058,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Education,Studies,per year,Auckland City campus,English
,Postgraduate Diploma in Language and Culture,33058,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Education,Language,per year,Auckland City campus,English
