name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#,Logo
"ATMC NZ- Nelson Marlborough Institute of Technology, Auckland Campus",NMIOT1001,,,,New Zealand,,Auckland,,,,,,,,"ATMC NZ- Nelson Marlborough Institute of Technology, Auckland Campus.png"
Auckland University of Technology,AUT1001,,,,New Zealand,,Auckland,,,,,,,,Auckland University of Technology.png
Le Cordon Bleu,LEBC1001,,,,New Zealand,,Wellington ,,,,,,,,Le Cordon Bleu.png
Lincoln University,LINU1001,,,,New Zealand,,Lincoln,,,,,,,,Lincoln University.jpg
Manukau Institute of Technology,MANIT1001,,,,New Zealand,,Auckland,,,,,,,,Manukau Institute of Technology.png
Nelson & Marlborough Institute of Technology,NMIT1001,,,,New Zealand,,Nelson,,,,,,,,Nelson & Marlborough Institute of Technology.png
New Zealand Institute of Education,NZIE1001,,,,New Zealand,,Auckland,,,,,,,,New Zealand Institute of Education.png
New Zealand School of Education (NZSE),NZSE1001,,,,New Zealand,,Auckland,,,,,,,,New Zealand School of Education (NZSE).png
Newton College of Business and Technology,NCOBT1001,,,,New Zealand,,Auckland,,,,,,,,Newton College of Business and Technology.png
Otago Polytechnic,OTAP1001,,,,New Zealand,,Auckland,,,,,,,,Otago Polytechnic.png
Pacific International Hotel Management School,PIHMS1001,,,,New Zealand,,New Plymouth,,,,,,,,Pacific International Hotel Management School.png
Professional Business & Restaurant School,PBRS1001,,,,New Zealand,,Auckland ,,,,,,,,Professional Business & Restaurant School.png
Unitec Institute of Technology,UNTCIT1001,,,,New Zealand,,Auckland,,,,,,,,Unitec Institute of Technology.png
University of Canterbury,UOCB1001,,,,New Zealand,,Christchurch,,,,,,,,University of Canterbury.png
UUNZ Institute of Business,UUNZ1001,,,,New Zealand,,Auckland,,,,,,,,UUNZ Institute of Business.png
