Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Master of Professional Engineering (Electrical),38000,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,90,6.5,58,58,58,58,64,Master's Science,Engineering,Electrical Engineering,per year,Brisbane,English
,Master of Professional Engineering (Electrical and Management),38000,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,90,6.5,58,58,58,58,64,Master's Science,Engineering,Electrical Engineering,per year,Brisbane,English
,Master of Professional Engineering (Mechanical),38000,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,90,6.5,58,58,58,58,64,Master's Science,Engineering,Mechanical Engineering,per year,Brisbane,English
,Master of Professional Engineering (Mechanical and Management),38000,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,90,6.5,58,58,58,58,64,Master's Science,Engineering,Mechanical Engineering,per year,Brisbane,English
,Bachelor of Design (Honours) (Architectural Studies),36100,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Architecture ,Design,per year,Gardens Point,English
,Bachelor of Property Economics,31800,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Social Science,Economics,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Civil),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Civil Enginering,per year,Brisbane,English
,Bachelor of Urban Development (Honours) (Construction Management),32300,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Social Science,Urban Development,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Computer and Software Systems),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Computer Engineering,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Electrical and Aerospace),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Electrical & Aerospace,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Electrical),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Electrical Engineering,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Mechanical),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Mechanical Engineering,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Mechatronics),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Mechatronics Engineering,per year,Brisbane,English
,Bachelor of Engineering (Honours) (Medical),41500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Engineering,Medical Enginnering,per year,Brisbane,English
,Bachelor of Business (Accountancy),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Accounts,per year,Brisbane,English
,Bachelor of Business (Public Relations),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Public Relations,per year,Brisbane,English
,Bachelor of Business (Advertising),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Advertising,per year,Brisbane,English
,Bachelor of Business (Economics),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Economics,per year,Brisbane,English
,Bachelor of Business (Finance),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Finance,per year,Brisbane,English
,Bachelor of Business (Human Resource Management),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,HR,per year,Brisbane,English
,Bachelor of Business (International Business),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,International Business,per year,Brisbane,English
,Bachelor of Business (Management),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Management,per year,Brisbane,English
,Bachelor of Business (Marketing),31100,100,"Feb, Jul, Nov",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Marketing,per year,Brisbane,English
,Master of Business (Professional Accounting),33100,100,"Feb, Jul, Nov",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Professional Accounting,per year,Brisbane,English
,Master of Business (Integrated Marketing Communication),33100,100,"Feb, Jul, Nov",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Marketing,per year,Brisbane,English
