Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall
,Pre-sessional English,"12,376.00",0,"Start: May 2020, Aug 2020",English as Second Language (ESL),Grade 12 / High School,70.00%,,,,,,,,,882,,,
,International Direct - Bachelor of Arts - Africana Studies,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - American Studies,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Anthropology,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Archaeology and History,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Art,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Asian Studies,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Biochemistry,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Biology,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Chemistry,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Chemistry,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Classical Languages,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Classical Studies,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Communication,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Community Development,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Computer Engineering,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Computer Science,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Computer Science,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Criminology and Criminal Justice,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Early Education and Care in Inclusive Settings (Non-Licensure),"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Economics,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Electrical Engineering,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Engineering Physics,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - English,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Environmental Science,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Environmental Science,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Environmental Studies and Sustainability,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Ethics and Social and Political Philosophy,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Exercise and Health Science,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - French,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - History,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Human Services,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Information Technology - IT BS,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Science - Information Technology - INFO TECH BS,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - International Relations,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
,International Direct - Bachelor of Arts - Italian,"34,571.00",0,Start: Aug 2020,4-Year Bachelor's Degree,Grade 12 / High School,70.00%,,,,,,,,,882,,79,6
