name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#
International University of Bad Honnef (IUBH),IUOBU1001,,,,Germany,,Erfurt,,,,,,,
SRH Berlin University,SRHB1001,,,,Germany,Berlin,,,,,,,,
University of Applied Sciences Europe,UOAS1001,,,,Germany,,Hamburg,,,,,,,
Vatel Hotel and Tourism Business School,VHTBS1001,,,,France,,,,,,,,,
Berlin School of Business & Innovation,BSBI1001,,,,Germany,Berlin,,,,,,,,
ESC Clermont Business School,ESC1001,,,,France,,Clermont-Ferrand,,,,,,,
EU Business School,EUBS1001,,,,Germany,,Munich ,,,,,,,
GISMA Business School,GBS1001,,,,Germany,,Hanover,,,,,,,
IGC - International Graduate Center,IGC1001,,,,Germany,,Bremen,,,,,,,
ISM University of Management and Economics,ISMU1001,,,,Lithuania,Vilnius,,,,,,,,
IUBH University of Applied Sciences,IUBH1001,,,,Germany,,Erfurt,,,,,,,
Munich Business School,MBS1001,,,,Germany,,Munich ,,,,,,,
New European College,NEC1001,,,,Germany,,Munich ,,,,,,,
