name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#,logo
AIBT,AIBT1001A,,,,Australia,,Sydney,,,,http://https//aibtglobal.edu.au/,,,,AIBT.png
Amber Aviation Academy,AMBR1001A,,,,Australia,,Melbourne,,,,http://www.amberaviationacademy.com.au/,,,,AmberAviationAcademy.jpg
"Australian Catholic University, Brisbane",ACUB1001A,,,,Australia,,Queensland,,,,http://courses.acu.edu.au/,,,,AustralianCatholicUniversityBrisbane.jpg
"Australian Catholic University, Canberra",ACUC1001A,,,,Australia,,Australian Capital Territory,,,,http://courses.acu.edu.au/,,,,AustralianCatholicUniversityCanberra.jpg
"Australian Catholic University, Melbourne and Ballarat",ACUMB1001A,,,,Australia,,Victoria,,,,http://courses.acu.edu.au/,,,,AustralianCatholicUniversityMelbourneandBallarat.jpg
"Australian Catholic University, North Sydney and Strathfield",ACUNSS1001A,,,,Australia,,New South Wales,,,,http://courses.acu.edu.au/,,,,AustralianCatholicUniversityNorthSydneyandStrathfield.jpg
Australian College of Applied Psychology,ACAP1001A,,,,Australia,,Sydney,,,,http://www.acap.edu.au/,,,,AustralianCollegeofAppliedPsychology.jpg
Australian National University College,ANUC1001A,,,,Australia,,Canberra,,,,http://www.anucollege.edu.au/,,,,AustralianNationalUniversityCollege.jpg
Charles Darwin University International College,CDUIC1001A,,,,Australia,,Northern Territory,,,,http://https//www.cdu.edu.au/international/charles-darwin-university-international-college,,,,CharlesDarwinUniversityInternationalCollege.jpg
"Charles Sturt University, Albury, Bathurst, Port Macquarie, Orange, Wagga Wagga",CSUABP1001A,,,,Australia,,Sydney,,,,http://study.csu.edu.au/,,,,CharlesSturtUniversityAlburyBathurstPortMacquarieOrangeWaggaWagga.jpg
"Charles Sturt University, Wodonga",CSUW1001A,,,,Australia,,Victoria,,,,http://study.csu.edu.au/,,,,CharlesSturtUniversityWodonga.jpg
"CQUniversity, Brisbane",CQUYB1001A,,,,Australia,,Queensland,,,,http://www.cqu.edu.au/,,,,CQUniversityBrisbane.jpg
"CQUniversity, Melbourne",CQUYM1001A,,,,Australia,,Victoria,,,,http://www.cqu.edu.au/,,,,CQUniversityMelbourne.jpg
"CQUniversity, Perth",CQUYP1001A,,,,Australia,,Western Australia,,,,http://www.cqu.edu.au/,,,,CQUniversityPerth.jpg
"CQUniversity, Rockhampton",CQUYR1001A,,,,Australia,,Queensland,,,,http://www.cqu.edu.au/,,,,CQUniversityRockhampton.jpg
"CQUniversity, Sydney",CQUYS1001A,,,,Australia,,New South Wales,,,,http://www.cqu.edu.au/,,,,CQUniversitySydney.jpg
Curtin College,CURC1001A,,,,Australia,,Perth,,,,http://www.curtincollege.edu.au/,,,,CurtinCollege.jpg
Curtin University,CURU1001A,,,,Australia,,Western Australia,,,,http://www.curtin.edu.au/,,,,CurtinUniversity.jpg
Deakin College,DEAC1001A,,,,Australia,,Melbourne,,,,http://www.mibt.vic.edu.au/,,,,DeakinCollege.jpg
Deakin University,DEAU1001A,,,,Australia,,Victoria,,,,http://www.deakin.edu.au/,,,,DeakinUniversity.jpg
Engineering Institute of Technology,EIOT1001A,,,,Australia,,Western Australia,,,,http://www.eit.edu.au/,,,,EngineeringInstituteofTechnology.jpg
Eynesbury College,EYNC1001A,,,,Australia,,Adelaide,,,,http://www.eynesbury.navitas.com/,,,,EynesburyCollege.jpg
Flinders University,FLINU1001A,,,,Australia,,South Australia,,,,http://www.flinders.edu.au/,,,,FlindersUniversity.jpg
Griffith College,GRIFT1001A,,,,Australia,,Brisbane,,,,http://www.qibt.qld.edu.au/,,,,GriffithCollege.jpg
Griffith University,GRIFU1001A,,,,Australia,,Brisbane,,,,http://www.griffith.edu.au/,,,,GriffithUniversity.jpg
International College of Management Sydney,ICOMS1001A,,,,Australia,,New South Wales,,,,http://www.icms.edu.au/,,,,InternationalCollegeofManagementSydney.jpg
James Cook University College,JCUC1001A,,,,Australia,,Cairns,,,,http://www.jcu.edu.au/,,,,JamesCookUniversityBrisbane.jpg
"James Cook University, Brisbane",JCUCB1001A,,,,Australia,,Queensland,,,,http://www.jcub.edu.au/,,,,JamesCookUniversityCollege.jpg
"James Cook University, Townsville",JCUT1001A,,,,Australia,,Queensland,,,,http://www.jcu.edu.au/,,,,JamesCookUniversityTownsville.jpg
La Trobe College,LATC1001A,,,,Australia,,Melbourne,,,,http://www.latrobemelbourne.edu.au/,,,,LaTrobeCollege.jpg
"La Trobe University, Melbourne",LATUM1001A,,,,Australia,,Melbourne,,,,http://www.latrobemelbourne.edu.au/,,,,LaTrobeUniversityMelbourne.jpg
"La Trobe University, Sydney",LATUS1001A,,,,Australia,,New South Wales,,,,http://www.latrobemelbourne.edu.au/,,,,LaTrobeUniversitySydney.png
"Le Cordon Bleu, Adelaide",LECBA1001A,,,,Australia,,Australia,,,,http://www.cordonbleu.edu/australia/home/en,,,,LeCordonBleuAdelaide.jpg
"Le Cordon Bleu, Melbourne",LECBM1001A,,,,Australia,,Australia,,,,http://https//www.cordonbleu.edu/melbourne,,,,LeCordonBleuMelbourne.jpg
"Le Cordon Bleu, Perth",LCBP1001A,,,,Australia,,Western Australia,,,,http://www.cordonbleu.edu/perth,,,,LeCordonBleuPerth.jpg
"Le Cordon Bleu, Sydney",LCBS1001A,,,,Australia,,New South Wales,,,,http://https//www.cordonbleu.edu/Sydney,,,,LeCordonBleuSydney.jpg
Macquarie University,MAQU1001A,,,,Australia,,New South Wales,,,,http://www.mq.edu.au/,,,,MacquarieUniversity.jpg
Monash College,MONC1001A,,,,Australia,,Victoria,,,,http://www.monashcollege.edu.au/,,,,MonashCollege.png
Monash University,MONU1001A,,,,Australia,,Victoria,,,,http://https//www.monash.edu/,,,,MonashUniversity.jpg
Queensland University of Technology,QSUT1001A,,,,Australia,,Queensland,,,,http://www.qut.edu.au/,,,,QueenslandUniversityofTechnology.jpg
