Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language,Consentration,Course URL,Campus,Application Deadline,Scholarship Available,Scholarship Detail,Backlog Range,Remarks,ESL/ELP Detail,ApplicationMode,DetScore,GRE,GMAT,count
BCIT007,Diploma in Airline and Flight Operations Commercial Pilot (Fixed-Wing),"17,792",154,May,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (50%) or 3.0 credits of post-secondary English, humanities or social sciences (50%) from a recognized institution  Math: Pre-Calculus 11 (60%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,"Aeronautical, Aerospace Engineering, Aviation Technology",16 Months,British Columbia,English,,https://www.bcit.ca/study/programs/100adipma#entry,Burnaby,ASAP,No,,,,,,120,,,290
BCIT007,Diploma in Airline and Flight Operations Commercial Pilot (Rotary-Wing),"17,792",154,May,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (50%) or 3.0 credits of post-secondary English, humanities or social sciences (50%) from a recognized institution  Math: Pre-Calculus 11 (60%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,"Aeronautical, Aerospace Engineering, Aviation Technology",14 Months,British Columbia,English,,https://www.bcit.ca/study/programs/100bdipma#entry,Burnaby,ASAP,No,,,,,,120,,,291
BCIT007,Diploma in Biomedical Engineering Technology,"23,958",154,Sep,UG Diploma/Certificate/Associate Degree,Grade 12 with 70%. English (67%) Chemistry: one of the following: Chemistry 11 (73%) or Chemistry 12 (67%) Physics: one of the following: Physics 11 (73%) or Physics 12 (67%) Math*: one of the following: Principles of Mathematics 12 (73%) or Pre-Calculus 12 (73%) ,,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Biomedical Engineering,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/5063dipma#overview,Burnaby,ASAP,No,,,,,,120,,,292
BCIT007,Diploma in Mechanical Engineering Technology (Mechanical Design Option),"19,578",154,Sep,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Physics 11 (73%) Chemistry 11 (67%) Math: Pre-Calculus 12 (73%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Mechanical Engineering,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/635ddiplt,Burnaby,ASAP,No,,,,,,120,,,293
BCIT007,Diploma in Mechanical Engineering Technology (Mechanical Manufacturing Option),"19,578",154,Sep,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Physics 11 (73%) Chemistry 11 (67%) Math: Pre-Calculus 12 (73%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Mechanical Engineering,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/635ediplt,Burnaby,ASAP,No,,,,,,120,,,294
BCIT007,Diploma in Mechanical Engineering Technology (Mechanical Systems Option),"19,578",154,Sep,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Physics 11 (73%) Chemistry 11 (67%) Math: Pre-Calculus 12 (73%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Mechanical Engineering,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/635cdiplt,Burnaby,ASAP,No,,,,,,120,,,295
BCIT007,Diploma in Mechatronics and Robotics,"19,578",154,Sep,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Physics 11 (73%) Chemistry 11 (67%) Math: Pre-Calculus 12 (73%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Mechanical and Mechatronics Engineering,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/7340diplt,Burnaby,ASAP,No,,,,,,120,,,296
BCIT007,Diploma in Mechanical Engineering Technology (Mechanical Manufacturing Option),"19,578",154,Sep,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Physics 11 (73%) Chemistry 11 (67%) Math: Pre-Calculus 12 (73%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Manufacturing Engineering,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/635ediplt,Burnaby,ASAP,No,,,,,,120,,,297
BCIT007,Diploma in Electrical and Computer Engineering Technology (Automation and Instrumentation Option),"19,578",154,"Sep, Jan",UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Math: Pre-Calculus 12 (73%) Chemistry 11 (67%) Physics 12 (67%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,Instrumentation,24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/534adipma,Burnaby,ASAP,No,,,,,,120,,,298
BCIT007,Diploma in Electrical and Computer Engineering Technology (Electrical Power and Industrial Control Option),"19,578",154,"Jan, Sep",UG Diploma/Certificate/Associate Degree,"Grade 12 with 70%. English 12 (67%) or 3.0 credits of post-secondary English, humanities or social sciences (67%) from a recognized institution. Math: Pre-Calculus 12 (73%) Chemistry 11 (67%) Physics 12 (67%)",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,"Industrial Engineering, Process Engineering",24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/534bdipma,Burnaby,ASAP,No,,,,,,120,,,299
BCIT007,Diploma in Industrial Instrumentation and Process Control Technician,"16,680",154,Sep,UG Diploma/Certificate/Associate Degree,"Grade 12 with 70% overall, English with 67%, Chemistry with 67%, Mathematics with 73% and Physics with 67% is required.",,18,18,18,18,6,6,6,6,,,86,6.5,58,58,58,58,60,UG Diploma/Certificate/Associate Degree,Engineering and Engineering Trades,"Industrial Engineering, Process Engineering",24 Months,British Columbia,English,,https://www.bcit.ca/study/programs/2945dipma,Burnaby,ASAP,No,,,,,,120,,,300
