name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#
University of California - Berkeley Extension,232,,,,USA,California,Berkeley,,,,,,,
Johns Hopkins University - School of Education,1263,,,,USA,Maryland,Baltimore,,,,,,,
"University of California, Irvine",67,,,,USA,California,Irvine,,,,,,,
Arizona State University - Tempe,894,,,,USA,Arizona,Tempe,,,,,,,
Arizona State University - Polytechnic,924,,,,USA,Arizona,Mesa,,,,,,,
Arizona State University - Downtown Phoenix,927,,,,USA,Arizona,Phoenix,,,,,,,
Arizona State University - Lake Havasu,931,,,,USA,Arizona,Lake Havasu City,,,,,,,
Arizona State University - West,881,,,,USA,Arizona,Glendale,,,,,,,
University of Utah,867,,,,USA,Utah,Salt Lake City,,,,,,,
University of Waterloo,2,,,,CANADA,Ontario,Waterloo,,,,,,,DLI#: O19305471522
University of Illinois at Chicago,863,,,,USA,Illinois,Chicago,,,,,,,
Colorado State University,205,,,,USA,Colorado,Fort Collins,,,,,,,
Oregon State University,203,,,,USA,Oregon,Corvallis,,,,,,,
"University of California, Riverside IEP",49,,,,USA,California,Riverside,,,,,,,
University of South Florida,204,,,,USA,Florida,Tampa,,,,,,,
Western University,348,,,,CANADA,Ontario,London,,,,,,,DLI#: O19375892122
University of Kansas,889,,,,USA,Kansas,Lawrence,,,,,,,
Washington State University - Vancouver,339,,,,USA,Washington,Vancouver,,,,,,,
Washington State University - Spokane,340,,,,USA,Washington,Spokane,,,,,,,
Washington State University - Tri-Cities,341,,,,USA,Washington,Richland,,,,,,,
Washington State University - Everett,342,,,,USA,Washington,Everett,,,,,,,
Washington State University - Pullman,144,,,,USA,Washington,Pullman,,,,,,,
University of South Carolina,869,,,,USA,South Carolina,Columbia,,,,,,,
University of Alabama - Birmingham,216,,,,USA,Alabama,Birmingham,,,,,,,
Queen's University - School of English,150,,,,CANADA,Ontario,Kingston,,,,,,,DLI#: O19376023352
University of Victoria - English Language Centre,836,,,,CANADA,British Columbia,Victoria,,,,,,,DLI#: O19280533442
George Mason University,213,,,,USA,Virginia,Fairfax,,,,,,,
York University - School of Continuing Studies,272,,,,CANADA,Ontario,Toronto,,,,,,,DLI#: O19361109242
Louisiana State University,876,,,,USA,Louisiana,Baton Rouge,,,,,,,
University of Central Florida,884,,,,USA,Florida,Orlando,,,,,,,
Florida International University,875,,,,USA,Florida,Miami,,,,,,,
University of Manitoba,270,,,,CANADA,Manitoba,Winnipeg,,,,,,,DLI#: O19091528512
Northeastern University - Boston,235,,,,USA,Massachusetts,Boston,,,,,,,
Northeastern University - D'Amore-McKim School of Business,248,,,,USA,Massachusetts,Boston,,,,,,,
Northeastern University - Seattle,249,,,,USA,Washington,Seattle,,,,,,,
University of Vermont,57,,,,USA,Vermont,Burlington,,,,,,,
University of Saskatchewan,199,,,,CANADA,Saskatchewan,Saskatoon,,,,,,,DLI#: O19425660421
Auburn University,704,,,,USA,Alabama,Auburn,,,,,,,
Kent State University - Kent,94,,,,USA,Ohio,Kent,,,,,,,
Kent State University - Salem,1180,,,,USA,Ohio,Salem,,,,,,,
Kent State University - Ashtabula,1181,,,,USA,Ohio,Ashtabula,,,,,,,
Kent State University - Tuscarawas,1182,,,,USA,Ohio,New Philidelphia,,,,,,,
Baylor University,226,,,,USA,Texas,Waco,,,,,,,
Montana State University,1252,,,,USA,Montana,Bozeman,,,,,,,
Saint Louis University,215,,,,USA,Missouri,St. Louis,,,,,,,
"University of Nevada, Reno",68,,,,USA,Nevada,Reno,,,,,,,
University of Idaho,83,,,,USA,Idaho,Moscow,,,,,,,
Northern Arizona University - Flagstaff Mountain,77,,,,USA,Arizona,Flagstaff,,,,,,,
Northern Arizona University - Yuma,1184,,,,USA,Arizona,Yuma,,,,,,,
American University,703,,,,USA,District Of Columbia,Washington,,,,,,,
San Francisco State University,161,,,,USA,California,San Francisco,,,,,,,
University of Massachusetts Boston,882,,,,USA,Massachusetts,Boston,,,,,,,
University of Windsor,191,,,,CANADA,Ontario,Windsor,,,,,,,DLI#: O19358946722
University of New Brunswick - Saint John,749,,,,CANADA,New Brunswick,Saint John,,,,,,,DLI#: O19348802512
University of New Brunswick - Fredericton,750,,,,CANADA,New Brunswick,Fredericton,,,,,,,DLI#: O19348802512
University of Regina,37,,,,CANADA,Saskatchewan,Regina,,,,,,,DLI#: O19425660270
San Jose State University,22,,,,USA,California,San José,,,,,,,
Brock University,128,,,,CANADA,Ontario,St. Catharines,,,,,,,DLI#: O19394569014
University of Dayton,283,,,,USA,Ohio,Dayton,,,,,,,
James Madison University,59,,,,USA,Virginia,Harrisonburg,,,,,,,
