Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree
,Bachelor of Science - Accountancy,"Tuition: US$ 30,522.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Actuarial Science,"Tuition: US$ 30,522.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Aerospace Engineering - Aeronautics,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Aerospace Engineering - Astronautics,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Aerospace Engineering - Autonomous Vehicle Systems,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Africa and African American Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - American Indian Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Anthropology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Anthropology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Applied Mathematics for Life and Social Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Architectural Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Art - Art Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Art,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Asia Studies - East Asia,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Asia Studies - South Asia,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Asia Studies - Southeast Asia,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Asian Languages - Chinese,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Asian Languages - Japanese,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Asian Pacific American Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biochemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Biochemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biochemistry - Medicinal Chemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biological Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biological Sciences - Biology and Society,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biological Sciences - Biomedical Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biological Sciences - Conservation Biology and Ecology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Bachelor of Science - Biological Sciences - Genetics, Cell and Developmental Biology","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Bachelor of Science - Biological Sciences - Neurobiology, Physiology and Behaviour","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Biomedical Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biomedical Informatics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Biophysics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Business - Chinese Language and Culture,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Business - Communications,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
