Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL iBT: 92.0 (Readng),Min TOEFL iBT: 92.0 (Writing),Min TOEFL iBT: 92.0 (Listening),Min TOEFL iBT: 92.0 (Speaking),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Listening),Min IELTS (Speaking),School ID,
,Bachelor of Arts - Accounting (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Deadline: Sep 2020Jan 2021Deadline: Feb 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Anishinaabemowin (Ojibwe Language),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Science - Biology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Business Administration (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Community Economic & Social Development,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Computer Science (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,English for Academic Purposes Program,"Tuition: CA$ 10,500.00",CA$ 125.00,Start: Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,English as Second Language (ESL),Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Economics (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - English,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Finance and Economics (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Fine Arts,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Geography,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - History,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Law and Justice,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Science - Computer Science (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Music,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Political Science,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Psychology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Science - Psychology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Social Work,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Arts - Sociology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Science - Environmental Science,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
